brand_id,brand_name,product_name,campaign_name,campaign_phase
147,Google,Nest Thermostat,ValentinesDeals,Pre-Launch
148,Toyota,RAV4,InnovationX,Pre-Launch
149,Nike,React,NextGeneration,Launch
150,Coca-Cola,Sprite,SummerSale,Launch
151,Microsoft,Xbox Elite Controller,SpringBlast2025,Post-Launch
152,Coca-Cola,Sprite,NextGeneration,Pre-Launch
153,Google,Nest Hub,GlobalCampaign,Launch
154,Apple,AirPods Pro,PowerRelease,Pre-Launch
155,Google,Chromebook,ReferralBonus,Post-Launch
156,Toyota,Tundra,InnovationX,Launch
157,Pepsi,Pepsi Max,LaunchWave,Launch
158,Microsoft,Surface Pro,GlobalCampaign,Post-Launch
159,Adidas,Samba,NextGeneration,Pre-Launch
160,Google,Pixel 8,NewYearNewYou,Post-Launch
161,Adidas,NMD,SustainableFuture,Pre-Launch
162,Pepsi,Crystal Pepsi,SpringBlast2025,Pre-Launch
163,Adidas,Stan Smith,FallCollection,Launch
164,Google,Pixel 8,SummerSale,Post-Launch
165,Toyota,Corolla,NewYearNewYou,Pre-Launch
166,Pepsi,Pepsi Max,NextGeneration,Launch
167,Toyota,Tacoma,InnovationX,Post-Launch
168,Nike,Zoom Pegasus,LoyaltyRewards,Launch
169,Adidas,Ultraboost,LoyaltyRewards,Post-Launch
170,Coca-Cola,Sprite,GlobalCampaign,Pre-Launch
171,Amazon,Ring Camera,SpringBlast2025,Pre-Launch
172,Samsung,Galaxy Watch,ValentinesDeals,Post-Launch
173,Apple,Mac Mini,LaunchWave,Launch
174,Samsung,Galaxy Tab,WinterWonders,Launch
175,Amazon,Fire Tablet,FallCollection,Post-Launch
176,Coca-Cola,Diet Coke,SummerSale,Pre-Launch
177,Samsung,Galaxy S25,HolidaySpecial,Post-Launch
178,Samsung,Galaxy Tab,BackToSchool,Pre-Launch
179,Coca-Cola,Fanta,PowerRelease,Launch
180,Amazon,Eero WiFi,NextGeneration,Launch
181,Coca-Cola,Fanta,SummerSale,Launch
182,Toyota,Highlander,HolidaySpecial,Post-Launch
183,Toyota,Highlander,NewYearNewYou,Pre-Launch
184,Microsoft,Xbox Series X,BackToSchool,Launch
185,Coca-Cola,Coca-Cola Vanilla,CustomerFirst,Launch
186,Samsung,Neo QLED TV,FallCollection,Launch
187,Toyota,Corolla,SpringBlast2025,Pre-Launch
188,Amazon,Kindle,ValentinesDeals,Post-Launch
189,Samsung,Galaxy Z Fold,LaunchWave,Launch
190,Apple,Mac Mini,PowerRelease,Launch
191,Adidas,Superstar,DigitalTransformation,Post-Launch
192,Samsung,Neo QLED TV,NextGeneration,Post-Launch
193,Amazon,Kindle,SustainableFuture,Pre-Launch
194,Coca-Cola,Coke Zero,HolidaySpecial,Pre-Launch
195,Adidas,Stan Smith,CustomerFirst,Launch
196,Apple,iMac,SustainableFuture,Launch
197,Adidas,Gazelle,CustomerFirst,Launch
198,Microsoft,Surface Duo,DigitalTransformation,Pre-Launch
199,Nike,Zoom Pegasus,NextGeneration,Launch
200,Samsung,Galaxy S25,GlobalCampaign,Post-Launch
201,Microsoft,Surface Pro,FallCollection,Pre-Launch
202,Microsoft,Xbox Elite Controller,GlobalCampaign,Launch
203,Google,Chromebook,BackToSchool,Pre-Launch
204,Adidas,Predator,WinterWonders,Pre-Launch
205,Microsoft,Surface Laptop,GlobalCampaign,Pre-Launch
206,Toyota,Camry,CustomerFirst,Launch
207,Apple,iMac,EarthDay,Post-Launch
208,Microsoft,Xbox Series X,SpringBlast2025,Post-Launch
209,Samsung,Galaxy Tab,GlobalCampaign,Pre-Launch
210,Nike,Zoom Pegasus,LoyaltyRewards,Pre-Launch
211,Nike,Air Force 1,SustainableFuture,Post-Launch
212,Toyota,Sienna,FallCollection,Post-Launch
213,Adidas,NMD,BlackFriday,Pre-Launch
214,Apple,iMac,BlackFriday,Pre-Launch
215,Google,Pixel 8,WinterWonders,Launch
216,Pepsi,Pepsi Zero Sugar,SpringBlast2025,Launch
217,Microsoft,Surface Duo,HolidaySpecial,Launch
218,Pepsi,Crystal Pepsi,LaunchWave,Launch
219,Pepsi,Crystal Pepsi,BackToSchool,Post-Launch
220,Coca-Cola,Coke Zero,NextGeneration,Post-Launch
221,Nike,Air Force 1,NextGeneration,Pre-Launch
222,Apple,iMac,PowerRelease,Post-Launch
223,Coca-Cola,Coke Zero,EarthDay,Launch
224,Toyota,Sienna,DigitalTransformation,Pre-Launch
225,Samsung,Galaxy Watch,NewYearNewYou,Launch
226,Adidas,Predator,PowerRelease,Post-Launch
227,Amazon,Echo Dot,ReferralBonus,Post-Launch
228,Google,Nest Hub,EarthDay,Pre-Launch
229,Samsung,Neo QLED TV,GlobalCampaign,Pre-Launch
230,Samsung,Galaxy S25,SpringBlast2025,Pre-Launch
231,Apple,Mac Mini,SummerDreams,Pre-Launch
232,Google,Chromebook,WinterWonders,Post-Launch
233,Apple,AirPods Pro,ReferralBonus,Pre-Launch
234,Amazon,Halo Band,SustainableFuture,Post-Launch
235,Pepsi,Pepsi Zero Sugar,InnovationX,Pre-Launch
236,Apple,Vision Pro,LaunchWave,Pre-Launch
237,Google,Pixel Tablet,BlackFriday,Pre-Launch
238,Adidas,Gazelle,SummerDreams,Post-Launch
239,Toyota,Highlander,DigitalTransformation,Pre-Launch
240,Pepsi,Pepsi Max,EarthDay,Post-Launch
241,Microsoft,Surface Pro,SummerDreams,Post-Launch
242,Adidas,Yeezy,NextGeneration,Launch
243,Toyota,Camry,CyberMonday,Pre-Launch
244,Amazon,Kindle,WinterWonders,Pre-Launch
245,Pepsi,Pepsi Lime,BackToSchool,Launch
246,Toyota,Prius,FallCollection,Pre-Launch
247,Coca-Cola,Coca-Cola Cherry,PowerRelease,Pre-Launch
248,Nike,Air Jordan,SummerSale,Pre-Launch
249,Nike,Epic React,BackToSchool,Pre-Launch
250,Apple,Mac Mini,SustainableFuture,Post-Launch
251,Coca-Cola,Diet Coke,WinterWonders,Launch
252,Microsoft,Xbox Series X,DigitalTransformation,Launch
253,Adidas,Gazelle,CyberMonday,Launch
254,Apple,Vision Pro,FallCollection,Post-Launch
255,Microsoft,Surface Laptop,FallCollection,Launch
256,Adidas,Superstar,LocalTouchpoints,Post-Launch
257,Toyota,Sienna,BlackFriday,Post-Launch
258,Microsoft,Xbox Elite Controller,NewYearNewYou,Pre-Launch
259,Google,Pixel Watch,LocalTouchpoints,Post-Launch
260,Pepsi,Pepsi Lime,NextGeneration,Launch
261,Microsoft,Surface Laptop,PowerRelease,Launch
262,Microsoft,Surface Laptop,HolidaySpecial,Pre-Launch
263,Google,Chromebook,WinterWonders,Pre-Launch
264,Toyota,Tacoma,SpringBlast2025,Post-Launch
265,Adidas,NMD,FallCollection,Post-Launch
266,Nike,Dri-FIT,NewYearNewYou,Post-Launch
267,Coca-Cola,Coca-Cola Vanilla,SummerDreams,Post-Launch
268,Amazon,Fire TV,NextGeneration,Pre-Launch
269,Amazon,Fire Tablet,HolidaySpecial,Pre-Launch
270,Nike,Air Force 1,WinterWonders,Pre-Launch
271,Adidas,Yeezy,PowerRelease,Launch
272,Toyota,RAV4,CustomerFirst,Pre-Launch
273,Pepsi,Pepsi Max,BackToSchool,Post-Launch
274,Coca-Cola,Coca-Cola Vanilla,GlobalCampaign,Launch
275,Apple,iPhone 15,EarthDay,Launch
276,Coca-Cola,Sprite,LoyaltyRewards,Post-Launch
277,Microsoft,Xbox Series X,WinterWonders,Post-Launch
278,Adidas,Superstar,NextGeneration,Launch
279,Apple,AirPods Pro,InnovationX,Launch
280,Adidas,Superstar,ReferralBonus,Post-Launch
281,Google,Chromebook,SpringBlast2025,Post-Launch
282,Nike,Air Max,CyberMonday,Pre-Launch
283,Adidas,Gazelle,SummerDreams,Pre-Launch
284,Nike,Zoom Pegasus,LocalTouchpoints,Post-Launch
285,Microsoft,Surface Duo,NextGeneration,Post-Launch
286,Toyota,Camry,SustainableFuture,Post-Launch
287,Pepsi,Pepsi Lime,BlackFriday,Pre-Launch
288,Nike,Air Force 1,SummerDreams,Post-Launch
289,Coca-Cola,Sprite,PowerRelease,Post-Launch
290,Toyota,Tundra,DigitalTransformation,Pre-Launch
291,Amazon,Kindle,InnovationX,Pre-Launch
292,Google,Pixel Tablet,InnovationX,Launch
293,Samsung,Galaxy Watch,WinterWonders,Pre-Launch
294,Apple,AirPods Pro,CustomerFirst,Pre-Launch
295,Toyota,Tundra,NewYearNewYou,Post-Launch
296,Samsung,Galaxy Z Fold,PowerRelease,Launch
297,Amazon,Halo Band,BackToSchool,Post-Launch
298,Toyota,Prius,HolidaySpecial,Launch
299,Toyota,Tacoma,NextGeneration,Post-Launch
300,Coca-Cola,Coke Zero,NewYearNewYou,Post-Launch
301,Google,Nest Thermostat,LaunchWave,Pre-Launch
302,Samsung,Galaxy Buds,NewYearNewYou,Post-Launch
303,Pepsi,Diet Pepsi,CyberMonday,Launch
304,Microsoft,Surface Laptop,CyberMonday,Launch
305,Nike,React,SpringBlast2025,Post-Launch
306,Samsung,Galaxy Buds,BackToSchool,Launch
307,Google,Pixel 8,HolidaySpecial,Launch
308,Pepsi,Pepsi Max,NewYearNewYou,Launch
309,Toyota,Tacoma,EarthDay,Pre-Launch
310,Nike,Zoom Pegasus,BackToSchool,Pre-Launch
311,Adidas,Predator,BackToSchool,Post-Launch
312,Google,Nest Hub,SustainableFuture,Post-Launch
313,Microsoft,Xbox Elite Controller,PowerRelease,Pre-Launch
314,Nike,FlyKnit,SummerSale,Pre-Launch
315,Adidas,NMD,ReferralBonus,Pre-Launch
316,Google,Pixel Tablet,SummerDreams,Post-Launch
317,Apple,Vision Pro,NewYearNewYou,Pre-Launch
318,Nike,Epic React,BackToSchool,Post-Launch
319,Nike,Air Jordan,EarthDay,Pre-Launch
320,Apple,Vision Pro,SustainableFuture,Post-Launch
321,Amazon,Fire Tablet,EarthDay,Launch
322,Microsoft,Surface Go,LoyaltyRewards,Post-Launch
323,Google,Nest Thermostat,HolidaySpecial,Post-Launch
324,Pepsi,Pepsi Wild Cherry,LoyaltyRewards,Pre-Launch
325,Microsoft,Xbox Series X,SpringBlast2025,Pre-Launch
326,Apple,iPhone 15,BlackFriday,Post-Launch
327,Google,Nest Hub,NextGeneration,Pre-Launch
328,Apple,Apple Watch,DigitalTransformation,Post-Launch
329,Amazon,Kindle,ReferralBonus,Launch
330,Amazon,Echo Dot,LocalTouchpoints,Launch
331,Microsoft,Surface Go,NextGeneration,Pre-Launch
332,Samsung,Galaxy Z Fold,LocalTouchpoints,Post-Launch
333,Coca-Cola,Coca-Cola Cherry,WinterWonders,Post-Launch
334,Toyota,Prius,BlackFriday,Pre-Launch
335,Microsoft,Xbox Series X,DigitalTransformation,Pre-Launch
336,Google,Nest Hub,ValentinesDeals,Post-Launch
337,Adidas,Ultraboost,BlackFriday,Pre-Launch
338,Nike,Zoom Pegasus,NewYearNewYou,Launch
339,Pepsi,Pepsi Max,SustainableFuture,Pre-Launch
340,Pepsi,Pepsi Lime,InnovationX,Pre-Launch
341,Adidas,Predator,LoyaltyRewards,Pre-Launch
342,Adidas,Superstar,HolidaySpecial,Post-Launch
343,Toyota,Tacoma,LocalTouchpoints,Pre-Launch
344,Adidas,Stan Smith,SustainableFuture,Post-Launch
345,Nike,Epic React,PowerRelease,Pre-Launch
346,Nike,Dri-FIT,GlobalCampaign,Post-Launch
347,Microsoft,Surface Laptop,ValentinesDeals,Post-Launch
348,Samsung,Galaxy Tab,CustomerFirst,Launch
349,Nike,Air Force 1,CyberMonday,Launch
350,Coca-Cola,Coca-Cola Vanilla,EarthDay,Launch
351,Adidas,Samba,GlobalCampaign,Post-Launch
352,Toyota,Camry,LoyaltyRewards,Post-Launch
353,Adidas,Yeezy,LocalTouchpoints,Post-Launch
354,Microsoft,Surface Duo,GlobalCampaign,Pre-Launch
355,Amazon,Ring Camera,ReferralBonus,Pre-Launch
356,Samsung,Galaxy Z Fold,GlobalCampaign,Launch
357,Samsung,Galaxy Z Fold,LoyaltyRewards,Pre-Launch
358,Adidas,Gazelle,FallCollection,Launch
359,Pepsi,Pepsi Wild Cherry,GlobalCampaign,Pre-Launch
360,Microsoft,Xbox Series X,BlackFriday,Post-Launch
361,Toyota,Highlander,CustomerFirst,Launch
362,Apple,MacBook Pro,PowerRelease,Post-Launch
363,Samsung,Galaxy S25,NextGeneration,Pre-Launch
364,Samsung,Galaxy Tab,FallCollection,Post-Launch
365,Coca-Cola,Fanta,LocalTouchpoints,Post-Launch
366,Pepsi,Crystal Pepsi,CustomerFirst,Launch
367,Amazon,Fire Tablet,SummerDreams,Post-Launch
368,Pepsi,Pepsi Lime,WinterWonders,Pre-Launch
369,Coca-Cola,Coca-Cola Vanilla,FallCollection,Post-Launch
370,Apple,iPhone 15,NewYearNewYou,Launch
371,Adidas,Ultraboost,CustomerFirst,Post-Launch
372,Microsoft,Xbox Elite Controller,SummerSale,Launch
373,Adidas,Yeezy,WinterWonders,Pre-Launch
374,Google,Pixel Tablet,SustainableFuture,Pre-Launch
375,Google,Nest Thermostat,ReferralBonus,Launch
376,Nike,Air Max,ValentinesDeals,Post-Launch
377,Coca-Cola,Coke Zero,FallCollection,Launch
378,Coca-Cola,Fanta,HolidaySpecial,Launch
379,Pepsi,Pepsi Lime,InnovationX,Launch
380,Amazon,Eero WiFi,LoyaltyRewards,Launch
381,Google,Pixel Tablet,PowerRelease,Pre-Launch
382,Adidas,Gazelle,BackToSchool,Launch
383,Amazon,Fire Tablet,LaunchWave,Launch
384,Coca-Cola,Coke Zero,LaunchWave,Pre-Launch
385,Adidas,Ultraboost,SpringBlast2025,Pre-Launch
386,Toyota,Highlander,BlackFriday,Pre-Launch
387,Samsung,Galaxy S25,FallCollection,Pre-Launch
388,Toyota,Highlander,SpringBlast2025,Post-Launch
389,Microsoft,Surface Duo,BackToSchool,Post-Launch
390,Apple,iMac,CustomerFirst,Post-Launch
391,Google,Pixel 8,DigitalTransformation,Post-Launch
392,Apple,iPhone 15,CustomerFirst,Post-Launch
393,Samsung,Galaxy Buds,BackToSchool,Post-Launch
394,Nike,Air Force 1,LoyaltyRewards,Post-Launch
395,Microsoft,Surface Duo,WinterWonders,Pre-Launch
396,Google,Pixel Watch,BlackFriday,Pre-Launch
397,Pepsi,Diet Pepsi,LocalTouchpoints,Launch
398,Toyota,RAV4,FallCollection,Pre-Launch
399,Coca-Cola,Fanta,NextGeneration,Post-Launch
400,Nike,Dri-FIT,CyberMonday,Pre-Launch
401,Samsung,Galaxy Tab,InnovationX,Launch
402,Pepsi,Pepsi Zero Sugar,SummerDreams,Post-Launch
403,Nike,Zoom Pegasus,LocalTouchpoints,Pre-Launch
404,Samsung,Galaxy S25,WinterWonders,Launch
405,Toyota,Tundra,DigitalTransformation,Post-Launch
406,Samsung,Galaxy Z Fold,HolidaySpecial,Post-Launch
407,Amazon,Kindle,NewYearNewYou,Launch
408,Toyota,Camry,DigitalTransformation,Launch
409,Toyota,Tundra,GlobalCampaign,Post-Launch
410,Google,Pixel Tablet,ValentinesDeals,Pre-Launch
411,Coca-Cola,Coke Zero,SummerDreams,Launch
412,Microsoft,Surface Duo,CyberMonday,Pre-Launch
413,Samsung,Galaxy S25,SustainableFuture,Pre-Launch
414,Coca-Cola,Coca-Cola Cherry,WinterWonders,Launch
415,Nike,React,GlobalCampaign,Launch
416,Apple,iMac,SpringBlast2025,Launch
417,Pepsi,Crystal Pepsi,WinterWonders,Post-Launch
418,Microsoft,Surface Pro,SpringBlast2025,Launch
419,Coca-Cola,Fanta,DigitalTransformation,Launch
420,Samsung,Galaxy Buds,FallCollection,Pre-Launch
421,Adidas,Superstar,CyberMonday,Launch
422,Pepsi,Pepsi Wild Cherry,InnovationX,Pre-Launch
423,Pepsi,Pepsi Wild Cherry,NewYearNewYou,Launch
424,Coca-Cola,Coke Zero,BackToSchool,Post-Launch
425,Samsung,Galaxy Tab,WinterWonders,Pre-Launch
426,Apple,Apple Watch,ValentinesDeals,Pre-Launch
427,Pepsi,Pepsi Max,LoyaltyRewards,Launch
428,Apple,MacBook Pro,NewYearNewYou,Pre-Launch
429,Microsoft,Surface Go,PowerRelease,Post-Launch
430,Google,Chromebook,EarthDay,Post-Launch
431,Coca-Cola,Coca-Cola Vanilla,LocalTouchpoints,Pre-Launch
432,Toyota,RAV4,SpringBlast2025,Launch
433,Amazon,Echo Dot,BackToSchool,Launch
434,Microsoft,Surface Laptop,SummerSale,Launch
435,Toyota,Camry,ReferralBonus,Launch
436,Pepsi,Pepsi Lime,LaunchWave,Pre-Launch
437,Apple,Mac Mini,LocalTouchpoints,Launch
438,Samsung,Neo QLED TV,BlackFriday,Pre-Launch
439,Coca-Cola,Coke Zero,SummerSale,Pre-Launch
440,Microsoft,Surface Pro,SummerSale,Pre-Launch
441,Microsoft,Surface Go,ReferralBonus,Pre-Launch
442,Amazon,Fire Tablet,WinterWonders,Post-Launch
443,Nike,Epic React,SummerSale,Pre-Launch
444,Nike,Air Max,SummerDreams,Launch
445,Nike,React,NewYearNewYou,Pre-Launch
446,Nike,Air Jordan,FallCollection,Post-Launch
447,Apple,iPhone 15,FallCollection,Post-Launch
448,Apple,iMac,NextGeneration,Launch
449,Samsung,Galaxy Tab,CustomerFirst,Post-Launch
450,Coca-Cola,Coca-Cola Vanilla,HolidaySpecial,Launch
451,Apple,MacBook Pro,GlobalCampaign,Post-Launch
452,Nike,Dri-FIT,LocalTouchpoints,Pre-Launch
453,Apple,Apple Watch,SummerDreams,Launch
454,Microsoft,Xbox Elite Controller,NextGeneration,Pre-Launch
455,Toyota,Prius,ValentinesDeals,Post-Launch
456,Adidas,Superstar,InnovationX,Post-Launch
457,Pepsi,Pepsi Max,WinterWonders,Pre-Launch
458,Adidas,Stan Smith,WinterWonders,Pre-Launch
459,Nike,Dri-FIT,SummerDreams,Pre-Launch
460,Coca-Cola,Sprite,WinterWonders,Pre-Launch
461,Google,Pixel Buds,PowerRelease,Pre-Launch
462,Samsung,Neo QLED TV,SpringBlast2025,Pre-Launch
463,Coca-Cola,Sprite,CustomerFirst,Post-Launch
464,Toyota,Highlander,ValentinesDeals,Post-Launch
465,Samsung,Galaxy Watch,ReferralBonus,Post-Launch
466,Toyota,Highlander,SummerSale,Post-Launch
467,Amazon,Halo Band,SummerDreams,Pre-Launch
468,Google,Pixel Tablet,SpringBlast2025,Post-Launch
469,Google,Pixel 8,LaunchWave,Launch
470,Microsoft,Surface Go,InnovationX,Pre-Launch
471,Samsung,Galaxy Buds,PowerRelease,Post-Launch
472,Coca-Cola,Sprite,HolidaySpecial,Post-Launch
473,Pepsi,Pepsi Wild Cherry,DigitalTransformation,Launch
474,Nike,FlyKnit,FallCollection,Post-Launch
475,Coca-Cola,Fanta,LocalTouchpoints,Pre-Launch
476,Nike,Dri-FIT,LaunchWave,Pre-Launch
477,Nike,FlyKnit,ValentinesDeals,Launch
478,Apple,Vision Pro,SpringBlast2025,Post-Launch
479,Adidas,Predator,ValentinesDeals,Post-Launch
480,Apple,iPad Air,LoyaltyRewards,Launch
481,Coca-Cola,Sprite,BlackFriday,Post-Launch
482,Nike,React,WinterWonders,Pre-Launch
483,Samsung,Galaxy Watch,LaunchWave,Post-Launch
484,Amazon,Halo Band,BackToSchool,Pre-Launch
485,Samsung,Galaxy Tab,LoyaltyRewards,Launch
486,Pepsi,Pepsi Max,LaunchWave,Pre-Launch
487,Apple,iPad Air,SummerSale,Launch
